"","Con1","Con2","Con3","Ko1","Ko2","Ko3"
"ENSMUSG00000043282",0,0,0,0,0,0
"ENSMUSG00000102459",0,0,0,0,0,0
"ENSMUSG00000047053",0,0,0,0,0,0
"ENSMUSG00000099227",0,0,0,0,0,0
"ENSMUSG00000026107",357,988,4671,223,1259,2056
"ENSMUSG00000099413",588,1476,5776,263,1375,2533
"ENSMUSG00000103424",0,0,0,0,0,0
"ENSMUSG00000054976",22,66,282,28,121,270
"ENSMUSG00000104029",0,0,0,0,0,0
"ENSMUSG00000101986",0,0,0,0,0,0
"ENSMUSG00000087008",0,30,60,7,36,46
"ENSMUSG00000100561",0,0,0,0,0,0
"ENSMUSG00000103571",0,0,0,0,0,0
"ENSMUSG00000098797",0,0,0,0,0,0
"ENSMUSG00000026473",6494,24460,78524,9388,51125,73293
"ENSMUSG00000100014",0,0,4,0,0,0
"ENSMUSG00000101903",0,0,4,0,0,0
"ENSMUSG00000055980",18,128,345,2,166,295
"ENSMUSG00000100502",3,32,26,2,14,6
"ENSMUSG00000022591",0,0,0,0,0,0
"ENSMUSG00000088669",0,0,0,0,0,0
"ENSMUSG00000066797",0,0,0,0,0,0
"ENSMUSG00000048960",32,64,126,14,100,182
"ENSMUSG00000099933",0,0,0,0,0,0
"ENSMUSG00000100221",0,0,0,0,0,0
"ENSMUSG00002076439",0,0,0,0,0,0
"ENSMUSG00000100031",0,0,0,0,0,0
"ENSMUSG00000077318",0,0,0,0,0,0
"ENSMUSG00000101827",0,0,0,0,0,0
"ENSMUSG00000103494",0,0,0,0,0,0
"ENSMUSG00000026142",634,2773,9191,430,2946,4472
"ENSMUSG00000104493",0,0,1,0,0,0
"ENSMUSG00000100786",0,0,0,0,0,6
"ENSMUSG00002075724",0,0,0,0,0,0
"ENSMUSG00000067158",2,26,51,0,42,34
"ENSMUSG00000079465",1,12,93,6,23,9
"ENSMUSG00002075966",0,0,0,0,0,0
"ENSMUSG00000004110",2,8,20,0,8,12
"ENSMUSG00000097564",0,10,9,0,12,4
"ENSMUSG00000101880",0,0,0,4,0,0
"ENSMUSG00000101433",0,0,0,0,0,0
"ENSMUSG00000096950",3,18,61,10,30,38
"ENSMUSG00000056708",454,2333,6558,647,3148,4206
"ENSMUSG00000026471",70,418,1230,92,484,856
"ENSMUSG00000057715",34,70,128,4,38,60
"ENSMUSG00000026470",713,3414,9759,786,3873,5042
"ENSMUSG00000103825",0,0,0,0,0,0
"ENSMUSG00000099845",0,0,0,0,0,0
"ENSMUSG00000103561",0,0,2,0,0,0
"ENSMUSG00000101610",0,0,0,0,0,0
"ENSMUSG00000104181",0,0,0,0,0,0
"ENSMUSG00000118923",0,0,4,0,0,0
"ENSMUSG00000098555",0,0,0,0,0,0
"ENSMUSG00000097628",2,0,0,0,0,0
"ENSMUSG00000098163",0,0,0,0,0,0
"ENSMUSG00000097171",0,0,0,0,0,0
"ENSMUSG00000101314",0,0,0,0,0,0
"ENSMUSG00000033722",12,83,239,6,76,64
"ENSMUSG00000103670",0,0,0,0,0,0
"ENSMUSG00000026150",1199,5698,16274,964,5549,6469
"ENSMUSG00000101450",0,0,0,0,0,0
"ENSMUSG00000026149",2,70,50,2,34,44
"ENSMUSG00000114299",0,0,0,0,0,0
"ENSMUSG00000099771",0,0,0,0,0,0
"ENSMUSG00000102280",0,0,0,0,0,0
"ENSMUSG00000100170",0,0,0,0,0,0
"ENSMUSG00000100744",0,0,0,0,0,0
"ENSMUSG00002074851",0,0,0,0,0,0
"ENSMUSG00000026469",262,1060,3593,277,1320,2758
"ENSMUSG00002076398",0,0,0,0,0,0
"ENSMUSG00000018417",541,2244,5237,590,3579,4437
"ENSMUSG00000101724",0,0,0,0,0,0
"ENSMUSG00000100313",0,0,0,0,0,0
"ENSMUSG00000100696",0,0,0,0,0,0
"ENSMUSG00002075355",0,0,0,0,0,0
"ENSMUSG00000072324",0,0,4,0,2,0
"ENSMUSG00000026490",637,2813,8679,665,3733,5540
"ENSMUSG00000033701",671,3100,8269,523,2902,3566
"ENSMUSG00000102194",0,0,0,0,0,0
